"player_name","club_name","transfer_fee","goals","assists","minutes_played","position"
"Kai Havertz","Arsenal","75","13","7","2640","Attack"
"Declan Rice","Arsenal","116.6","7","9","3231","Midfield"
"Jurrien Timber","Arsenal","40","0","0","71","Defender"
"David Raya","Arsenal","0","0","0","2880","Goalkeeper"
"Moussa Diaby","Aston Villa","55","6","8","2186","Attack"
"Morgan Rogers","Aston Villa","9.4","3","1","641","Midfield"
"Youri Tielemans","Aston Villa","0","2","6","1621","Midfield"
"Pau Torres","Aston Villa","33","2","0","2463","Defender"
"Nicolò Zaniolo","Aston Villa","0","2","0","830","Midfield"
"Leander Dendoncker","Aston Villa","0","1","0","119","Midfield"
"Clément Lenglet","Aston Villa","0","0","1","1155","Defender"
"Philippe Coutinho","Aston Villa","0","0","0","24","Midfield"
"Justin Kluivert","Bournemouth","10.8","7","1","1935","Attack"
"Luis Sinisterra","Bournemouth","0","2","2","691","Attack"
"Enes Ünal","Bournemouth","0","2","2","319","Attack"
"David Brooks","Bournemouth","0","1","1","273","Attack"
"Alex Scott","Bournemouth","23","1","1","1010","Midfield"
"Kieffer Moore","Bournemouth","0","1","0","100","Attack"
"Milos Kerkez","Bournemouth","17.87","0","1","1976","Defender"
"Max Aarons","Bournemouth","8.1","0","1","1234","Defender"
"Joe Rothwell","Bournemouth","0","0","0","381","Midfield"
"Hamed Junior Traoré","Bournemouth","0","0","0","44","Midfield"
"Tyler Adams","Bournemouth","26.9","0","0","118","Midfield"
"Andrei Radu","Bournemouth","0","0","0","180","Goalkeeper"
"Romain Faivre","Bournemouth","15","0","0","37","Midfield"
"Romain Faivre","Bournemouth","0","0","0","37","Midfield"
"Mark Travers","Bournemouth","0","0","0","360","Goalkeeper"
"Hamed Junior Traoré","Bournemouth","25.62","0","0","44","Midfield"
"James Hill","Bournemouth","0","0","0","75","Defender"
"Jaidon Anthony","Bournemouth","0","0","0","153","Attack"
"Neal Maupay","Brentford","0","6","3","1313","Attack"
"Kevin Schade","Brentford","25","2","1","330","Attack"
"Nathan Collins","Brentford","26.85","1","1","2650","Defender"
"Sergio Reguilón","Brentford","0","0","4","1124","Defender"
"Mark Flekken","Brentford","13","0","1","3285","Goalkeeper"
"Myles Peart-Harris","Brentford","0","0","0","11","Midfield"
"João Pedro","Brighton","34.2","9","3","2047","Attack"
"Ansu Fati","Brighton","0","2","0","511","Attack"
"James Milner","Brighton","0","0","2","778","Midfield"
"Mahmoud Dahoud","Brighton","0","0","1","454","Midfield"
"Carlos Baleba","Brighton","27","0","0","1320","Midfield"
"Bart Verbruggen","Brighton","20","0","0","1890","Goalkeeper"
"Igor","Brighton","16.15","0","0","1636","Defender"
"Valentín Barco","Brighton","9.15","0","0","308","Defender"
"Jacob Bruun Larsen","Burnley","0","6","0","1247","Attack"
"Zeki Amdouni","Burnley","18.6","5","1","1973","Attack"
"David Datro Fofana","Burnley","0","4","1","879","Attack"
"Dara O'Shea","Burnley","7.8","3","4","2895","Defender"
"Wilson Odobert","Burnley","12","3","3","2108","Attack"
"Lorenz Assignon","Burnley","0","1","2","1238","Defender"
"Sander Berge","Burnley","13.9","1","2","3006","Midfield"
"Luca Koleosho","Burnley","3","1","1","986","Attack"
"Jordan Beyer","Burnley","15","0","1","1238","Defender"
"Aaron Ramsey","Burnley","16.45","0","0","526","Midfield"
"Anass Zaroury","Burnley","0","0","0","149","Midfield"
"Connor Roberts","Burnley","0","0","0","819","Defender"
"Han-Noah Massengo","Burnley","0","0","0","14","Midfield"
"Hannes Delcroix","Burnley","3","0","0","585","Defender"
"James Trafford","Burnley","17.3","0","0","2520","Goalkeeper"
"Maxime Estève","Burnley","0","0","0","1312","Defender"
